package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
assertthat,0.2.1,0.2.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/assertthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/assertthat,FALSE,FALSE,2019-03-21,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
backports,1.1.4,1.1.4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/backports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/backports,FALSE,FALSE,2019-04-10,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
bitops,1.0.6,1.0-6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/bitops,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/bitops,FALSE,FALSE,2013-08-17,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
broman,0.69.5,0.69-5,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/broman,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/broman,TRUE,FALSE,2019-04-11,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
broom,0.5.2,0.5.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/broom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/broom,FALSE,FALSE,2019-04-07,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
callr,3.3.1,3.3.1,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/callr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/callr,FALSE,FALSE,2019-07-18,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
caTools,1.17.1.2,1.17.1.2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/caTools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/caTools,FALSE,FALSE,2019-03-06,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
cellranger,1.1.0,1.1.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/cellranger,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/cellranger,FALSE,FALSE,2016-07-27,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
cli,1.1.0,1.1.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/cli,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/cli,FALSE,FALSE,2019-03-19,CRAN (R 3.6.0),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
cluster,2.1.0,2.1.0,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/cluster,/Library/Frameworks/R.framework/Versions/3.6/Resources/library/cluster,FALSE,FALSE,2019-06-19,CRAN (R 3.6.1),NA,/Library/Frameworks/R.framework/Versions/3.6/Resources/library
